部件,现象/问题,
1,无信号,1
1,污染、携带,2
1,压力过高,3
2,压力偏高或超过限值,4
2,压力偏低或没有压力,5
3,进样重复性精密度变差,6
4,无数据/无注入/采样信号低,7
4,进样中止,8
4,进样未启动,9
5,进样未启动,10
6,进样未启动,11
7,进样未启动,12
8,进样中止/进样未启动,13
9,进样中止/进样未启动,14
10,进样中止/进样未启动,15
11,压力偏低或没有压力,16
12,压力偏低或没有压力,17
13,压力波动,18
14,压力波动,19
15,压力偏低或没有压力,20
16,压力偏高或超过限值,21
17,压力偏低或没有压力,22
18,压力偏高或超过限值,23
19,压力偏低或没有压力,24
20,压力偏低或没有压力,25
21,压力偏低或没有压力,26
22,压力偏高或超过限值,27
23,压力偏高或超过限值,28
23,色谱图峰形异常,29
24,油位过低,30
24,油颜色变深、浑浊,31
25,尖锐声音,32
26,真空过低,33
27,信号降低,34
27,信号降低/喷雾不连续,35
28,信号降低/喷雾不连续,36
29,仪表状态显示无加热/加热读数低,37
30,信号降低,38
31,进样未启动,39
32,信号降低,40
33,信号降低,41
34,信号降低,42
35,无信号,43
36,能量测试不通过,44
37,信号降低/无信号,45
38,信号 异常,46
39,压力偏高或超过限值,47
40,无法联机,48
41,无法联机,49
42,无法联机,50
43,无法联机,51
44,无法联机,52
